PhD,category,questions,theme,id,typology
a,research,fragment spacing and size = does their home range size and/or territory movement patterns fully overlap or extend beyond small patch sizes?,conservation,bb,theory
a,research,site fidelity,conservation,bb,methods
a,research,timing,conservation,bb,methods
a,research,can you use remote sensing to measure fragments,conservation,bb,methods
a,research,veg sampling for nest is the same as fragments?,conservation,bb,methods
a,research,does your detailed veg sampling match the literature?,conservation,bb,theory
a,research,"what is the sample size you need for individual birds, ie is 9 sufficient?",conservation,bb,theory
a,research,do you need to use MARK to test mark-recapture theory?,conservation,bb,methods
a,research,more stats work - habitat occupancy models,conservation,bb,methods
a,research,deeper or wider for a PhD - a choice that structures design and sampling effort for subsequent work,conservation,bb,methods
a,research,things you can control and those things you cannot - spring detections  ,conservation,bb,methods
b,research,Nesting success over the two-year study was significantly lower on agricultural sites (26.5 % success compared to 50.0 % success on non-agricultural sites) with a similar but non-significant pattern for fledgling survival (21.4 % survival on agricultural compared to 35.3 % on non-agricultural sites).,conservation,hvv,data
b,research,1. why do you think you had a similar but non-significant pattern?,conservation,hvv,data
b,research,2. is there any evidence from your work how we could modify ag lands to be more nesting friendly?  It would be great to turn habitat loss into habitat modification.,conservation,hvv,methods
b,research,"3. In your intro, you state the results to date from lit are conflicted.  Any insights from your work how this can be resolved?",conservation,hvv,data
b,research,"4. had no relation to habitat variables such as crop type, availability of natural margins, and surrounding grasslands and woodlands (Bradbury et al., 2003) - what is the driver that matters then?",conservation,hvv,data
b,research,5. intensive agriculture is low quality habitat due to higher nest predation and lower food supply:,conservation,hvv,data
b,research,so how do you measure predation risk?  arthropods is the measure of food supply.,conservation,hvv,methods
b,research,6. do sparrows have arthropod feeding preferences or will they eat anything?,conservation,hvv,methods
b,research,7. Can you have a p-value of 0? p13,conservation,hvv,data
b,research,8. How do you reconcile mixed positive/n.s. results? some measures were not significant whilst others were?,conservation,hvv,data
b,research,9. discuss results on p11,conservation,hvv,data
b,research,75% of guild? passerines? what about other guilds?,conservation,hvv,data
b,research,predatory densities? how do they assess?,conservation,hvv,data
b,research,what about less intensive ag?,conservation,hvv,methods
b,research,an you test ag-intensity using BBS? how spatial is it?,conservation,hvv,methods
b,research,how much variation as there within non-ag sites? predict higher variation there?,conservation,hvv,data
b,research,did you sort arthropods into RTUs when you weighed them?  YES! very cool.,conservation,hvv,methods
b,research,p33 numbers 3.5 to 4.,conservation,hvv,data
b,research,excluded failed nests,conservation,hvv,data
b,research,is clutch size a good response measure?,conservation,hvv,data
b,research,"n.s. results due to power, design, sample sizes?",conservation,hvv,data
b,research,are there indirect effects on the predators within ag lands? maybe they decline too? what do they eat when there are no nest to chomp?,conservation,hvv,methods
b,research,did you keep the landscape-level surveys to find farms?,conservation,hvv,methods
b,research,"what is it about ag land that matters? the vegetation, the disturbance, the prey availability?",conservation,hvv,theory
b,research,does the type of crop matter? can you test different crops at same sites on different years?,conservation,hvv,methods
b,research,how large is the spillover effect of farms on adjacent lands?,conservation,hvv,methods
c,research,Is there a degree of certainty associated with geolocators?,conservation,mmp,data
c,research,How important is forest type for the geolocators?,conservation,mmp,methods
c,research,Can you explore the Cons Bio paper a bit more?,conservation,mmp,theory
c,research,Is Cort always high in response to low food? Are there calibration curves associated with caloric intake?,conservation,mmp,methods
c,research,Is SMI the same as BMI?  ,conservation,mmp,methods
c,research,"If you depart late, you arrive late? Why? Is there compression of differences due to migration rates differences?  Is there any way to integrate these different estimates?",conservation,mmp,theory
c,research,Is SMI the same as lean?  You mean mass or fat?,conservation,mmp,data
c,research,How do you reconcile some measures supporting predictions and not others?,conservation,mmp,theory
